id,workstream,deliverable,start_date,due_date,estimate_hours,owner,status,acceptance_criteria
D1,Platform,OpenClaw CLI + daemon installed,2026-02-22,2026-02-23,3,clay,not_started,"gateway status healthy and daemon restart works"
D2,Channel,Primary channel authenticated,2026-02-23,2026-02-25,4,clay,not_started,"message round-trip validated from channel to assistant"
D3,Security,Pairing and approval configured,2026-02-24,2026-02-27,4,clay,not_started,"untrusted request is blocked or approval-gated"
D4,Policy,Project AGENTS policy + memory format,2026-02-25,2026-02-28,3,clay,not_started,"2 prompts respect allowed commands and paths"
D5,Workflows,Workflow #1: daily summary,2026-03-01,2026-03-03,3,clay,not_started,"two successful runs with correct format"
D6,Workflows,Workflow #2: task triage,2026-03-02,2026-03-05,3,clay,not_started,"two successful runs with priority tags"
D7,Workflows,Workflow #3: reminder planner,2026-03-04,2026-03-07,3,clay,not_started,"two successful runs with due-date extraction"
D8,Reliability,Error handling + fallback checklist,2026-03-05,2026-03-07,3,clay,not_started,"failures emit actionable recovery steps"
D9,Integration,One external integration live,2026-03-08,2026-03-12,6,clay,not_started,"three successful integration task completions"
D10,Automation,Recurring automation active,2026-03-10,2026-03-14,4,clay,not_started,"three scheduled runs complete without manual retry"
D11,Observability,Weekly KPI report template,2026-03-11,2026-03-14,3,clay,not_started,"report shows success rate, latency, failure causes"
D12,Hardening,Security + permission audit,2026-03-15,2026-03-17,4,clay,not_started,"no critical permission gaps remain"
D13,Hardening,7-day stability burn-in,2026-03-15,2026-03-21,6,clay,not_started,"no critical incidents during burn-in window"
D14,Launch,Launch/rollback runbook,2026-03-18,2026-03-21,3,clay,not_started,"recovery drill completed once"
D15,Planning,Month-1 retrospective + month-2 backlog,2026-03-22,2026-03-22,3,clay,not_started,"top 5 next improvements prioritized"
